MSA_ID,ra,dec,prism_4,Mgrat_4,prism_5,Mgrat_5,prism_7,Mgrat_7,prism_8,Mgrat_8,prism_9,Mgrat_9,prism_10,Mgrat_10,prism_11,prism_12
003001,214.9527623,52.8650018,False,False,False,False,False,False,False,False,False,False,True,False,False,False
003002,215.0719728,52.9605815,False,False,False,False,False,False,True,False,False,False,False,False,False,False
003027,215.1398858,52.9881148,False,False,False,False,False,False,True,False,False,False,False,False,False,False
003031,214.8099438,52.8516864,True,False,False,False,False,False,False,False,False,False,False,False,False,False
003039,215.0566938,52.9035943,False,False,False,False,False,False,False,False,True,False,False,False,False,False
003051,215.0982451,52.9511005,False,False,False,False,False,False,True,True,False,False,False,False,False,False
003060,214.8741423,52.8684325,False,False,False,False,False,False,False,False,False,False,False,True,False,False
003096,214.9473642,52.830508,False,False,False,False,False,False,False,False,False,False,True,False,False,False
003129,215.0541793,52.9259103,False,False,False,False,False,False,False,False,True,True,False,False,False,False
003135,215.1792409,53.0181102,False,False,False,False,True,False,False,False,False,False,False,False,False,False
003141,214.927607,52.8479646,False,False,False,False,False,False,False,False,False,False,False,False,True,False
003145,214.9497648,52.8687158,False,False,False,False,False,False,False,False,False,False,True,True,False,False
003154,215.0441759,52.9459933,False,False,False,False,False,False,False,False,True,False,False,False,False,False
003175,214.9741044,52.9059472,False,False,False,False,False,False,False,False,True,False,False,False,False,False
003181,215.0959776,52.9977124,False,False,False,False,False,False,True,True,False,False,False,False,False,False
003187,214.8928069,52.8593413,False,False,False,False,False,False,False,False,False,False,False,True,False,False
003192,214.7272939,52.7455642,False,False,False,False,False,False,False,False,False,False,False,False,False,True
003208,215.1644987,53.0666347,False,False,False,False,True,True,False,False,False,False,False,False,False,False
003212,215.0208773,52.9663193,False,False,True,False,False,False,False,False,False,False,False,False,False,False
003223,215.0727739,53.0118751,False,False,False,True,False,False,False,False,False,False,False,False,False,False
003327,214.916481,52.8105309,False,False,False,False,False,False,False,False,False,False,False,False,True,False
003328,214.7722824,52.7175359,False,False,False,False,False,False,False,False,False,False,False,False,False,True
003341,215.0693114,53.0013895,False,False,False,False,False,False,True,False,False,False,False,False,False,False
003382,214.935971,52.8589397,False,False,False,False,False,False,False,False,False,False,False,False,True,False
003456,214.9461035,52.8761673,False,False,False,False,False,False,False,False,False,False,True,True,False,False
003467,214.8354278,52.8437672,True,False,False,False,False,False,False,False,False,False,False,False,False,False
003476,215.045403,52.8945741,False,False,False,False,False,False,False,False,True,True,False,False,False,False
003480,214.8748518,52.8437988,False,False,False,False,False,False,False,False,False,False,False,False,True,False
003501,215.0461715,52.9128179,False,False,False,False,False,False,False,False,True,True,False,False,False,False
003506,215.1562782,53.0598994,False,False,False,False,True,True,False,False,False,False,False,False,False,False
003527,214.8088986,52.7471533,False,False,False,False,False,False,False,False,False,False,False,False,False,True
003530,215.0732248,52.999639,False,False,True,False,False,False,True,True,False,False,False,False,False,False
003535,215.0501247,52.9419605,False,False,False,False,False,False,False,False,True,True,False,False,False,False
003537,215.1436274,53.0048024,False,False,False,False,False,False,False,True,False,False,False,False,False,False
003538,215.0171212,53.0061733,False,False,True,False,False,False,False,False,False,False,False,False,False,False
003549,215.2434721,53.0176979,False,False,False,False,True,False,False,False,False,False,False,False,False,False
003560,215.0047125,52.9628889,False,False,True,True,False,False,False,False,False,False,False,False,False,False
003564,215.1670474,53.0605778,False,False,False,False,True,False,False,False,False,False,False,False,False,False
003567,215.0784734,52.981593,False,False,True,False,False,False,False,False,False,False,False,False,False,False
003584,214.9887523,52.9980436,False,False,True,False,False,False,False,False,False,False,False,False,False,False
